[2025-01-14 18:46:04,947] tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2025-01-14 18:46:05,996] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:46:05,996] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:46:05,996] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-01-14 18:46:06,000] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-01-14 18:46:16,770] werkzeug - WARNING -  * Debugger is active!
[2025-01-14 18:46:16,848] werkzeug - INFO -  * Debugger PIN: 829-501-677
[2025-01-14 18:46:17,093] root - INFO - entered into run_pipeline method of prepictionpipeline class
[2025-01-14 18:46:17,093] root - INFO - Running the prediction function
[2025-01-14 18:46:17,123] h5py._conv - DEBUG - Creating converter from 3 to 5
[2025-01-14 18:46:19,435] root - INFO - enterned the concat_data_cleaning function
[2025-01-14 18:46:21,261] root - INFO - existed from run_pipeline of prediction pipeline class
[2025-01-14 18:46:21,289] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:46:21] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[2025-01-14 18:46:22,102] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:46:22] "GET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2025-01-14 18:46:22,109] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:46:22] "GET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2025-01-14 18:46:22,589] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:46:22] "GET /predict?__debugger__=yes&cmd=resource&f=console.png&s=KR4g4LLqFwtjYIg1xWV5 HTTP/1.1" 200 -
[2025-01-14 18:46:22,905] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:46:22] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2025-01-14 18:46:23,262] werkzeug - INFO - 127.0.0.1 - - [14/Jan/2025 18:46:23] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2025-01-14 18:47:28,509] werkzeug - INFO -  * Detected change in 'd:\\ml_projects\\end_to_end\\text_classification\\main.py', reloading
